               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11584,            0.042052,                   0,           0.0040912,            0.034152,           0.0015908,          0.00029633,             0.10244,            0.049747,                   0,             0.00041,             0.00041,             0.09631
                   1,              0.1065,            0.041389,                   0,           0.0075291,            0.017076,           0.0025106,          0.00052773,            0.094451,            0.053671,                   0,           0.0008254,           0.0008254,            0.092525
                   2,            0.099506,            0.043676,                   0,            0.030799,             0.13874,            0.019808,           0.0058232,            0.087642,            0.053172,                   0,           0.0012225,           0.0012225,            0.088722
                   3,            0.091179,            0.039269,                   0,            0.069114,             0.30736,            0.046286,            0.008184,            0.082549,            0.045158,                   0,           0.0015881,           0.0015881,            0.084888
                   4,            0.083828,             0.03639,                   0,             0.13931,             0.27641,            0.092913,            0.015389,            0.076626,            0.044237,                   0,           0.0019104,           0.0019104,             0.08101
                   5,            0.079222,            0.035574,                   0,             0.15548,             0.30096,             0.11046,            0.020117,              0.0731,            0.043207,                   0,           0.0021792,           0.0021792,            0.077079
                   6,            0.076028,            0.034336,                   0,             0.24626,             0.39123,             0.20038,            0.040449,            0.070637,            0.041957,                   0,           0.0023865,           0.0023865,            0.073086
                   7,            0.073972,            0.034288,                   0,              0.2878,             0.35112,             0.21558,            0.048276,             0.07026,            0.041326,                   0,           0.0025269,           0.0025269,            0.069027
                   8,            0.071721,            0.034206,                   0,             0.34111,             0.33725,             0.23362,             0.05061,            0.069809,            0.040829,                   0,           0.0025977,           0.0025977,            0.064898
                   9,             0.07058,             0.03326,                   0,             0.37727,             0.31552,             0.24882,            0.059074,            0.069219,            0.040313,                   0,           0.0025995,           0.0025995,            0.060699
                  10,             0.06937,            0.034328,                   0,             0.36497,             0.31057,             0.25625,            0.056477,            0.068601,            0.040199,                   0,           0.0025355,           0.0025355,            0.056435
                  11,            0.067841,            0.034068,                   0,             0.35922,             0.39274,             0.27501,            0.060591,            0.066857,            0.040358,                   0,           0.0024124,           0.0024124,            0.052112
                  12,            0.069618,            0.031968,                   0,             0.39137,             0.39061,             0.29768,            0.068961,              0.0663,            0.040479,                   0,           0.0022396,           0.0022396,             0.04774
                  13,            0.066946,            0.032514,                   0,             0.36603,             0.40128,             0.30031,            0.066423,            0.066601,            0.040254,                   0,           0.0020293,           0.0020293,            0.043329
                  14,            0.066783,            0.032292,                   0,             0.40213,             0.34258,               0.277,            0.064325,            0.067159,            0.039723,                   0,           0.0017958,           0.0017958,            0.038896
                  15,            0.065808,            0.033261,                   0,             0.36976,             0.34365,             0.27543,            0.063521,             0.06605,            0.040019,                   0,           0.0015554,           0.0015554,            0.034455
                  16,            0.064876,            0.032925,                   0,             0.43142,             0.37673,             0.31915,            0.071925,             0.06503,            0.040962,                   0,           0.0013258,           0.0013258,            0.030026
                  17,            0.065224,            0.033096,                   0,             0.39253,             0.41942,             0.32071,             0.07364,            0.064601,            0.039618,                   0,           0.0011253,           0.0011253,            0.025625
                  18,            0.064654,            0.032431,                   0,             0.36327,             0.42049,             0.30414,            0.066582,            0.065618,            0.041661,                   0,          0.00097254,          0.00097254,            0.021273
                  19,            0.064223,            0.031661,                   0,             0.42199,             0.38412,             0.32794,             0.07413,            0.064614,            0.041109,                   0,          0.00088548,          0.00088548,            0.016985
